team,team_goals,team_assists,team_minutes,team_passes_attempted,team_passes_completed,team_avg_top_speed,team_pass_acc,top11_goals,top11_assists,top11_avg_pass_acc,top11_avg_age
7889,10.0,9.0,3963.0,2005.0,1735.0,31.505238095238095,82.94904761904762,9.0,8.0,85.81818181818181,27.181818181818183
50023,10.0,7.0,3963.0,1957.0,1671.0,31.611428571428572,81.73095238095237,8.0,7.0,82.38000000000001,24.818181818181817
50030,3.0,3.0,3940.0,1946.0,1675.0,30.824347826086957,80.90652173913043,2.0,3.0,82.36454545454545,22.272727272727273
50031,1.0,1.0,3963.0,1476.0,1244.0,31.228181818181817,79.28545454545454,1.0,0.0,81.08454545454546,24.09090909090909
50033,5.0,4.0,3960.0,1076.0,776.0,30.895454545454548,67.94454545454545,5.0,3.0,70.17545454545456,25.545454545454547
50037,11.0,8.0,3964.0,2889.0,2647.0,30.5435,89.7675,9.0,7.0,90.12181818181818,27.636363636363637
50043,3.0,2.0,3912.0,1921.0,1693.0,31.286842105263162,82.76894736842105,2.0,1.0,87.19,25.181818181818183
50050,9.0,7.0,3966.0,2017.0,1770.0,31.813499999999998,80.4465,8.0,6.0,83.12181818181818,27.363636363636363
50051,9.0,3.0,3961.0,2087.0,1879.0,31.8755,89.663,8.0,2.0,88.47727272727273,28.181818181818183
50058,7.0,6.0,3961.0,2107.0,1914.0,32.1515,81.99199999999999,6.0,4.0,88.13636363636364,26.727272727272727
50062,6.0,6.0,3964.0,2129.0,1873.0,30.83,86.48857142857143,5.0,6.0,85.53818181818183,24.90909090909091
50069,4.0,3.0,3966.0,1491.0,1236.0,30.74217391304348,75.02913043478262,2.0,3.0,77.44727272727272,26.09090909090909
50080,14.0,14.0,3890.0,2064.0,1815.0,30.629166666666666,82.37916666666666,13.0,12.0,86.11454545454545,24.545454545454547
50107,3.0,3.0,3964.0,2173.0,1915.0,30.964444444444446,85.945,2.0,3.0,85.8790909090909,25.181818181818183
50109,5.0,6.0,3971.0,2263.0,2033.0,31.4925,81.851,5.0,4.0,86.01545454545455,26.363636363636363
50111,0.0,1.0,3958.0,1399.0,1135.0,30.551,78.4835,0.0,1.0,77.9090909090909,22.545454545454547
50124,5.0,3.0,3962.0,2019.0,1738.0,31.43,83.5995238095238,5.0,2.0,85.45454545454545,29.363636363636363
50138,6.0,3.0,3963.0,1866.0,1631.0,31.294,84.03,3.0,2.0,85.91818181818182,28.636363636363637
50139,7.0,4.0,3924.0,2033.0,1824.0,31.376956521739128,86.04391304347826,6.0,3.0,86.57636363636364,23.90909090909091
50147,7.0,4.0,3961.0,1843.0,1585.0,30.986,82.726,7.0,2.0,84.70545454545456,26.454545454545453
50149,9.0,7.0,3966.0,1662.0,1416.0,31.90157894736842,79.17210526315789,6.0,5.0,83.64545454545454,23.454545454545453
50164,10.0,7.0,3964.0,1493.0,1233.0,30.533809523809527,82.2747619047619,9.0,4.0,81.62272727272727,26.545454545454547
52280,2.0,2.0,3962.0,1916.0,1652.0,30.624761904761904,82.38952380952381,2.0,2.0,84.52363636363636,25.818181818181817
52707,2.0,2.0,3963.0,1848.0,1575.0,31.676,79.9845,2.0,2.0,84.48545454545454,24.0
52747,2.0,3.0,3964.0,2770.0,2514.0,31.045,85.67666666666668,2.0,2.0,89.66727272727273,23.636363636363637
52749,5.0,6.0,3954.0,1708.0,1461.0,31.47391304347826,76.9791304347826,4.0,6.0,84.89545454545454,25.181818181818183
52758,13.0,7.0,3965.0,2389.0,2144.0,31.347619047619045,78.22714285714285,8.0,6.0,88.28090909090909,27.09090909090909
52797,2.0,2.0,3960.0,1450.0,1194.0,30.965454545454545,76.10681818181818,2.0,1.0,80.56090909090909,29.09090909090909
52816,5.0,4.0,3965.0,2091.0,1808.0,31.839473684210528,77.84263157894736,4.0,4.0,83.28818181818183,27.272727272727273
52919,10.0,7.0,3964.0,2803.0,2615.0,31.519130434782607,92.27260869565217,8.0,6.0,92.14454545454545,26.454545454545453
52969,0.0,0.0,3963.0,1652.0,1363.0,31.017000000000003,78.4,0.0,0.0,80.18181818181819,26.272727272727273
75797,5.0,3.0,3912.0,1554.0,1285.0,31.383684210526315,82.30842105263159,5.0,2.0,81.0918181818182,25.09090909090909
2601306,8.0,6.0,3965.0,1666.0,1350.0,31.410500000000003,76.58,7.0,5.0,78.16727272727273,28.272727272727273
2602798,4.0,2.0,3935.0,1863.0,1629.0,30.506086956521738,82.3704347826087,3.0,2.0,82.68363636363637,27.454545454545453
2603790,4.0,3.0,3964.0,1820.0,1578.0,31.722,79.24249999999999,4.0,2.0,82.80363636363637,24.90909090909091
